click_id;website;user_id;ad_id;did_click
click0;http://www.facebook.com;user0;112;False
click1;http://www.facebook.com;user0;117;False
click2;www.facebook.com;user0;58;False
click3;www.imdb.com;user0;109;False
click4;www.imdb.com;user0;123;False
click5;www.facebook.com;user0;49;False
click6;http://www.facebook.com;user0;59;True
click7;http://www.imdb.com;user0;61;False
click8;www.facebook.com;user0;70;True
click9;https://www.facebook.com;user0;32;False
click10;https://www.facebook.com;user0;119;False
click11;https://www.facebook.com;user0;86;False
click12;http://www.facebook.com;user0;92;False
click0;https://www.imdb.com;user1;65;False
click1;www.facebook.com;user1;15;False
click2;www.facebook.com;user1;17;True
click3;www.imdb.com;user1;41;True
click4;www.facebook.com;user1;122;False
click5;www.facebook.com;user1;54;False
click6;www.facebook.com;user1;79;False
click7;www.sporza.be;user1;111;False
click8;http://www.facebook.com;user1;72;False
click9;www.sporza.be;user1;56;False
click10;www.facebook.com;user1;22;False
click11;www.imdb.com;user1;42;False
click12;https://www.facebook.com;user1;58;False
click13;www.sporza.be;user1;89;False
click14;http://www.facebook.com;user1;119;False
click15;https://www.imdb.com;user1;12;False
click16;www.facebook.com;user1;91;False
click17;http://www.facebook.com;user1;47;False
click18;http://www.imdb.com;user1;121;False
click0;www.facebook.com;user2;50;True
click1;www.facebook.com;user2;26;False
click2;http://www.facebook.com;user2;26;False
click3;www.imdb.com;user2;117;False
click4;www.facebook.com;user2;49;True
click5;www.imdb.com;user2;80;False
click6;www.facebook.com;user2;31;True
click7;www.facebook.com;user2;41;False
click8;www.facebook.com;user2;116;False
click9;www.imdb.com;user2;105;False
click10;http://www.facebook.com;user2;59;False
click11;www.imdb.com;user2;92;False
click12;www.facebook.com;user2;111;False
click13;www.facebook.com;user2;44;False
click14;www.facebook.com;user2;41;False
click15;www.imdb.com;user2;105;False
click16;www.facebook.com;user2;89;False
click17;www.imdb.com;user2;123;False
click18;http://www.imdb.com;user2;84;False
click19;www.imdb.com;user2;122;False
click20;https://www.sporza.be;user2;39;False
click21;http://www.facebook.com;user2;49;False
click22;http://www.facebook.com;user2;61;False
click23;www.imdb.com;user2;45;False
click24;https://www.facebook.com;user2;98;False
click25;www.facebook.com;user2;120;False
click26;www.facebook.com;user2;17;False
click27;http://www.facebook.com;user2;65;False
click28;http://www.facebook.com;user2;82;False
click29;http://www.facebook.com;user2;67;True
click30;www.imdb.com;user2;115;False
click31;https://www.imdb.com;user2;88;False
click32;www.facebook.com;user2;101;False
click33;http://www.sporza.be;user2;22;False
click34;www.imdb.com;user2;119;False
click35;www.facebook.com;user2;9;False
click36;https://www.facebook.com;user2;36;False
click37;www.facebook.com;user2;75;False
click38;www.imdb.com;user2;124;False
click39;www.sporza.be;user2;46;False
click40;www.sporza.be;user2;113;False
click41;http://www.facebook.com;user2;64;True
click0;www.facebook.com;user3;29;False
click1;www.facebook.com;user3;62;False
click2;www.imdb.com;user3;11;False
click3;www.imdb.com;user3;81;False
click4;www.facebook.com;user3;46;True
click5;http://www.facebook.com;user3;115;False
click6;http://www.facebook.com;user3;66;False
click7;www.facebook.com;user3;10;False
click8;www.facebook.com;user3;96;False
click9;www.facebook.com;user3;4;True
click10;www.imdb.com;user3;101;False
click11;www.imdb.com;user3;57;False
click12;www.imdb.com;user3;109;False
click13;www.facebook.com;user3;96;False
click14;www.facebook.com;user3;108;False
click15;https://www.imdb.com;user3;29;False
click16;www.facebook.com;user3;1;False
click17;www.facebook.com;user3;19;False
click18;www.facebook.com;user3;117;False
click19;https://www.facebook.com;user3;112;False
click20;http://www.imdb.com;user3;41;False
click21;https://www.facebook.com;user3;29;False
click22;www.sporza.be;user3;19;False
click23;www.facebook.com;user3;69;False
click24;https://www.sporza.be;user3;24;False
click25;http://www.imdb.com;user3;75;False
click26;www.sporza.be;user3;31;False
click27;https://www.facebook.com;user3;19;False
click28;www.facebook.com;user3;36;False
click29;www.imdb.com;user3;30;False
click30;www.imdb.com;user3;1;True
click31;http://www.facebook.com;user3;51;False
click32;www.imdb.com;user3;22;False
click33;http://www.facebook.com;user3;61;False
click34;www.facebook.com;user3;95;False
click35;www.sporza.be;user3;8;True
click36;https://www.facebook.com;user3;30;False
click37;www.facebook.com;user3;56;False
click38;www.facebook.com;user3;18;False
click39;http://www.imdb.com;user3;115;False
click40;www.facebook.com;user3;9;False
click41;www.imdb.com;user3;76;False
click42;www.imdb.com;user3;29;False
click43;http://www.facebook.com;user3;101;False
click0;www.facebook.com;user4;23;True
click1;www.facebook.com;user4;109;False
click2;www.facebook.com;user4;24;False
click3;http://www.facebook.com;user4;50;False
click4;www.facebook.com;user4;124;False
click5;www.facebook.com;user4;17;False
click6;www.sporza.be;user4;22;False
click7;www.facebook.com;user4;11;False
click8;https://www.imdb.com;user4;83;False
click9;http://www.facebook.com;user4;109;False
click10;www.facebook.com;user4;105;False
click11;https://www.sporza.be;user4;2;True
click12;https://www.facebook.com;user4;68;False
